pricePerNight,nbChambres,city,zipCode,nbSallesDeBain,Date,piscine,url,id
,,,,1,30/06/2020,False,https://www.airbnb.fr/rooms/4313821?location=Lourmarin&checkin=&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=be215350-65a2-4f5b-aa35-748749298342,4313821
,2,,,,30/06/2020,False,https://www.airbnb.fr/rooms/23727602?location=Lourmarin&checkin=&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=be215350-65a2-4f5b-aa35-748749298342,23727602
,2,,,1,30/06/2020,False,https://www.airbnb.fr/rooms/13489823?location=Lourmarin&checkin=&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=be215350-65a2-4f5b-aa35-748749298342,13489823
,4,,,4,30/06/2020,False,https://www.airbnb.fr/rooms/32438871?location=Lourmarin&checkin=&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=be215350-65a2-4f5b-aa35-748749298342,32438871
,2,,,,30/06/2020,False,https://www.airbnb.fr/rooms/8279398?location=Lourmarin&checkin=&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=be215350-65a2-4f5b-aa35-748749298342,8279398
,,,,1,30/06/2020,False,https://www.airbnb.fr/rooms/31604095?location=Lourmarin&checkin=&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=be215350-65a2-4f5b-aa35-748749298342,31604095
,,,,1,30/06/2020,False,https://www.airbnb.fr/rooms/19761351?location=Lourmarin&checkin=&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=be215350-65a2-4f5b-aa35-748749298342,19761351
,,,,1,30/06/2020,False,https://www.airbnb.fr/rooms/42020526?location=Lourmarin&checkin=&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=be215350-65a2-4f5b-aa35-748749298342,42020526
,4,,,,30/06/2020,False,https://www.airbnb.fr/rooms/23491437?location=Lourmarin&checkin=&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=be215350-65a2-4f5b-aa35-748749298342,23491437
,2,,,1,30/06/2020,False,https://www.airbnb.fr/rooms/18539360?location=Lourmarin&checkin=&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=be215350-65a2-4f5b-aa35-748749298342,18539360
,,,,1,30/06/2020,False,https://www.airbnb.fr/rooms/33595528?location=Lourmarin&checkin=&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=be215350-65a2-4f5b-aa35-748749298342,33595528
,2,,,1,30/06/2020,False,https://www.airbnb.fr/rooms/35406624?location=Lourmarin&checkin=&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=be215350-65a2-4f5b-aa35-748749298342,35406624
,,,,1,30/06/2020,False,https://www.airbnb.fr/rooms/25730790?location=Lourmarin&checkin=&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=811eb42e-9d13-4edd-9e54-e0093fa03d52,25730790
,,,,1,30/06/2020,False,https://www.airbnb.fr/rooms/16494212?location=Lourmarin&checkin=&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=811eb42e-9d13-4edd-9e54-e0093fa03d52,16494212
,5,,,5,30/06/2020,False,https://www.airbnb.fr/rooms/33751873?location=Lourmarin&checkin=&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=811eb42e-9d13-4edd-9e54-e0093fa03d52,33751873
,,,,1,30/06/2020,False,https://www.airbnb.fr/rooms/1828823?location=Lourmarin&checkin=&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=811eb42e-9d13-4edd-9e54-e0093fa03d52,1828823
,,,,1,30/06/2020,False,https://www.airbnb.fr/rooms/2191552?location=Lourmarin&checkin=&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=811eb42e-9d13-4edd-9e54-e0093fa03d52,2191552
,2,,,,30/06/2020,False,https://www.airbnb.fr/rooms/21341848?location=Lourmarin&checkin=&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=811eb42e-9d13-4edd-9e54-e0093fa03d52,21341848
,3,,,3,30/06/2020,False,https://www.airbnb.fr/rooms/4012537?location=Lourmarin&checkin=&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=811eb42e-9d13-4edd-9e54-e0093fa03d52,4012537
